,A,B,C,D,E,F
0,-2.0,0.3922038008339259,-0.06319493222018392,0.043858014032388315,-1.3212803754383127,1.3331644590341187
1,-2.0,0.7086353980218205,0.7642094495875469,-0.9575015987153984,-0.17777472693589091,1.025978454583329
2,-2.0,2.472303026798922,-1.8101258479898512,-0.9592848403843616,0.30839986076057246,-2.1826385043960705
3,-2.0,0.024060247940298495,-0.37730462689008726,-2.4409002034221157,-0.26128711128268456,-0.2048260491858145
4,-2.0,14.837773094586831,0.49176141054902867,-3.4012743221154897,2.143266720035706,-1.5147530595671266
5,-2.0,19.07913055725956,-1.2556434809784898,-1.9433724788358595,1.7860482720979025,-2.963098876340052
6,-2.0,12.447962351399704,-0.525510186059224,-1.3448553366598377,-1.5917349224189121,0.9370442099808654
7,-2.0,7.052151485633375,0.1912275090139804,-0.058887818267734815,-1.1109917200225232,1.337953891257147
8,-2.0,6.904535658071707,0.07154010280663144,2.6752548306056534,-2.705339184106622,3.1444820257134314
9,-2.0,0.007576214845611512,-0.07584998415082968,-0.14592869098950745,-2.0901416352649362,1.6825135387205483
10,-2.0,0.3817474635837159,0.6319351257927791,0.8248761149018554,-1.3225341778521353,1.9562624293316562
11,-2.0,0.39400767592311575,-1.773830902177963,0.9834713432277691,-1.3108818675963736,-0.5179467684011416
12,-2.0,3.7344422786834026,-1.90124663941224,0.9198296369116123,-1.8455624505629098,-0.0937454731906144
13,-2.0,8.776851233224672,-0.3842839280878382,-6.072512551480288,-0.28118396416886626,0.22721898571780247
14,-2.0,3.6750784158009595,-1.6392016711814805,-1.1133434643418114,-0.7228430040525657,-0.8940426849400572
15,-2.0,0.5393780474283726,-1.5403220345945097,0.9854181940470493,-0.9162764924785853,-0.8803140040976931
16,-2.0,6.962592266841099,-0.12559505120129918,-3.21311784519958,-2.539216404416734,2.172509554334098
17,-2.0,7.443029351063041,0.7082114313197131,1.3422084182989376,-2.8977705428530127,3.489505538646249
18,-2.0,0.013935991994406186,-0.6295981983000143,-11.009840978348567,-1.7457648024415207,1.0378087329062449
19,-2.0,0.7896281113677817,0.917748334817664,2.418304949825217,-2.2876117707684465,3.2842219301397337
20,-2.0,1.9021172005465097,0.6661867958122635,-5.180436747888155,-0.6314688090827099,1.1899896849577225
21,-2.0,0.39065191923582865,-0.5983947220819859,-1.9639870622993127,-0.04922033867933129,-0.4403559108360076
22,-2.0,3.6143679658171437,-1.6219320964185784,-1.2703831542057538,0.10482466065077689,-1.4487815231215655
23,-2.0,1.8170776147815508,1.0675767893593813,2.286845832460207,-1.8706251784130465,2.7770077769094352
24,-2.0,0.0007831906616262234,-1.7611919144769819,-17.614117806151082,-1.592696277130191,-0.04994461224487377
25,-2.0,0.39322464589525175,-0.8518740858222049,1.9975793915132813,-2.5166111013211796,1.7764980044796568
26,-2.0,7.705796818885548,1.8090027982155268,-2.220333526311518,-1.1553957127423073,2.780803998593904
27,-2.0,0.11021944904779761,0.30694143796781415,-0.3846873990137578,0.3426047423361296,0.2109626995552428
28,-2.0,1.289679861214866,-1.1458457589715898,1.144020067610383,-0.9055207569406785,-0.26367328795378314
29,-2.0,3.2248284074303317,0.7819182308118366,-1.2046891265721156,-2.098254896174264,2.9271915067559777
30,-2.0,0.2602943870990322,2.0683814532663964,-4.815209584376901,-1.8261274582769231,4.039139128931036
31,-2.0,0.2644383499472476,0.3208808859176119,0.4255432192408879,-0.8749458288882022,1.4450090969287421
32,-2.0,1.146862333970313,-0.04586177556897594,0.11469260137027826,-2.1085412001109236,1.6317923764960094
33,-2.0,1.9052011801939437,-0.1729940703766063,1.772094584433781,-1.4899007019573158,1.3713241247024217
34,-2.0,0.06644634865644064,2.4314387072248014,-1.4475637733991318,1.155899315811605,1.4335725587160344
35,-2.0,0.03208771243163891,-4.1116129702486575,1.8326289452044504,-2.896944094750231,-1.0608817809901943
36,-2.0,3.2254744207550017,-0.3777639420387891,0.55511076805341,-0.252824906209247,-0.27931582002561073
37,-2.0,0.07194998138142666,0.6376359129822464,1.7819349125038815,-1.7375770019680665,2.6599149210536877
38,-2.0,3.136277672231422,1.2365028740808166,0.9458191410775256,-1.702767883174615,2.825212513465047
39,-2.0,1.0530945347827523,-0.2590575659016047,-3.266853351737666,-0.8399722488441916,1.2475690013278102
40,-2.0,16.57981574262667,0.48710361446590955,-2.1022005467399487,-0.8829560943957481,1.3643117118877583
41,-2.0,0.049308231722290694,1.5236092425762287,0.879436822104889,-1.2945401867886352,2.6722415301132685
42,-2.0,5.566753218700946,-0.0891232615166601,-4.605202797537311,0.5700031821657207,-0.29499555272617356
43,-2.0,4.1940571584635284,-0.15139857256828745,0.38477389937933526,-1.9117686251887411,2.041344037761989
44,-2.0,3.782003400722699,0.06085134788207976,1.3658767900565651,-1.9282828164995673,1.2862806812853085
45,-2.0,5.5832305527973904,-0.7507745540359555,-7.085396646316475,-1.676812337997895,1.2135659398895249
46,-2.0,0.6091023047852729,4.1430712621641685,-1.0415188184924395,0.13656436930696214,4.041215506962014
47,-2.0,0.04347654347677747,-0.183731440732909,0.6063586660131699,-1.4414269062564231,0.9859181012912077
48,-2.0,3.2603365623011835,0.4217282665643768,-3.6545544664559877,-1.1406210188813497,1.5269638680969175
