,A,B,C,D
0,-0.3990473583744336,-0.2902379447684209,-2.0,-0.1088094136060127
1,-1.4708578541148503,0.420872541726231,-2.0,-1.8917303958410812
2,-0.9345925535316177,1.0108754193816651,-2.0,-0.9454679729132829
3,-2.6260978961574084,-0.35910046639057525,-2.0,-1.2669974297668332
4,2.499611710292921,0.43942174074435914,-2.0,3.060189969548562
5,-0.970286111880525,0.3181508607144954,-2.0,-1.2884369725950204
6,-1.2039489452833543,-0.2138692258088749,-2.0,-0.9900797194744794
7,-0.7813292521135504,-0.09524812852866404,-2.0,0.3139188764151136
8,0.03644024708244764,-0.10032528832861398,-2.0,1.1367655354110617
9,-0.9535716527355496,0.25454877949242327,-2.0,-1.2081204322279728
10,-1.1288097272129511,0.018446651282235993,-2.0,-1.1472563784951872
11,-0.9995242464071872,0.6770429221141534,-2.0,-1.6765671685213406
12,-0.5636903283210304,0.2511189391116724,-2.0,0.18519073256729723
13,1.0849402783545936,-0.4901913364326865,-2.0,1.57513161478728
14,1.287144181119329,0.06674837803569267,-2.0,1.2203958030836364
15,4.1634804781297525,-0.24594815299059697,-2.0,5.40942863112035
16,-1.2214118361857371,0.2911042690003196,-2.0,-0.5125161051860567
17,1.6825879697405863,-0.4189166254822402,-2.0,3.1015045952228264
18,-2.5817699398756018,1.488438917487218,-2.0,-4.07020885736282
19,-5.6406854512406355,-0.09677812414261211,-2.0,-3.5439073270980233
20,-0.15988739671846863,0.34131029367685045,-2.0,-0.501197690395319
21,-7.679176744157304,1.1289671590757495,-2.0,-7.808143903233053
22,-0.7452303738976507,0.5979633179865856,-2.0,-0.3431936918842363
23,-0.7957583108820829,1.6722126685131284,-2.0,-2.4679709793952114
24,-0.9703340000704246,0.9975955209297733,-2.0,-1.967929521000198
25,-1.4656791308728563,0.26442171299144734,-2.0,0.26989915613569637
26,0.7151271679913185,1.909556096332125,-2.0,-1.1944289283408065
27,-1.680469953489252,0.5957406181564573,-2.0,-2.2762105716457093
28,-2.297298348477062,0.026760827086407868,-2.0,-2.3240591755634696
29,-0.8714490799843255,0.22556203862397883,-2.0,-1.0970111186083042
30,-2.910177531979457,-0.2533735636534441,-2.0,-2.6568039683260127
31,-1.3889790293207642,1.0622014654339926,-2.0,-1.4511804947547569
32,-0.4801562881175583,-0.2625118462299859,-2.0,-0.21764444188757237
33,-1.018674511199959,0.8509315708412579,-2.0,0.13039391795878297
34,-0.9980238425907668,0.9403268748607821,-2.0,-1.938350717451549
35,4.516703931634797,0.08081436328365776,-2.0,6.43588956835114
36,-1.325008446503499,1.6120544375168593,-2.0,-2.9370628840203583
37,-0.9476403722736526,0.06599428451198197,-2.0,-0.01363465678563458
38,-0.36580400457411,1.6823924898975002,-2.0,-2.0481964944716102
39,-0.7932975122367962,0.6185804175853487,-2.0,-1.4118779298221449
40,-3.8385006047960535,-0.4279931449344568,-2.0,-2.4105074598615968
41,-2.48470117276599,-0.3307349116661735,-2.0,-2.153966261099816
42,-1.2529871134010557,-0.011190810193382306,-2.0,-0.24179630320767342
43,-3.438412915511842,-0.30016234093254013,-2.0,-3.1382505745793017
44,-0.8278145168625048,0.4163826720324376,-2.0,-1.2441971888949426
45,1.689385399466115,1.0647736670550128,-2.0,1.6246117324111022
46,1.5653662103094188,-0.08384841666522713,-2.0,3.649214626974646
